Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,119.739998,121.680000,118.519997,121.129997,115.586166,6549500
2018-12-11,123.250000,123.809998,120.000000,120.889999,115.357147,5043100
2018-12-12,122.510002,122.879997,121.000000,121.160004,115.614792,3560500
2018-12-13,121.260002,121.790001,120.169998,120.730003,115.204483,3993600
2018-12-14,119.500000,121.110001,119.440002,119.900002,114.412460,4554200
2018-12-17,119.070000,119.779999,115.070000,116.099998,110.786377,7374500
2018-12-18,116.900002,118.230003,116.019997,116.650002,111.311211,6290200
2018-12-19,117.150002,120.269997,115.970001,116.430000,111.101280,6979800
2018-12-20,115.699997,116.449997,111.699997,113.019997,107.847336,8454400
2018-12-21,112.500000,115.279999,110.440002,110.940002,105.862541,10386500
2018-12-24,109.900002,111.000000,107.500000,107.570000,102.646774,3821400
2018-12-26,108.000000,111.389999,105.940002,111.389999,106.291939,6645800
2018-12-27,109.989998,113.779999,109.470001,113.779999,108.572556,6045600
2018-12-28,114.220001,114.800003,112.500000,113.029999,107.856880,5117500
2018-12-31,113.330002,114.349998,112.419998,113.669998,108.467590,4982800
2019-01-02,112.010002,115.980003,111.690002,115.209999,109.937111,4239900
2019-01-03,114.529999,114.879997,112.690002,112.910004,107.742371,4346700
2019-01-04,114.910004,117.489998,114.440002,117.320000,111.950539,4477800
2019-01-07,117.500000,118.830002,116.669998,118.150002,112.742554,3751200
2019-01-08,119.660004,120.570000,118.980003,119.830002,114.345657,4763600
2019-01-09,120.910004,121.400002,119.870003,120.690002,115.166306,3633700
2019-01-10,120.080002,121.860001,119.949997,121.790001,116.215958,3910000
2019-01-11,121.580002,121.620003,120.199997,121.459999,115.901062,3722400
2019-01-14,120.510002,120.650002,119.760002,120.389999,114.880035,5228700
2019-01-15,120.959999,121.930000,120.820000,121.730003,116.158714,3507500
2019-01-16,121.580002,122.000000,120.830002,121.620003,116.053741,3841100
2019-01-17,120.559998,122.410004,120.550003,122.190002,116.597656,5029900
2019-01-18,123.269997,124.720001,122.709999,123.820000,118.153053,6008500
2019-01-22,123.300003,123.800003,121.540001,122.519997,116.912544,10052400
2019-01-23,131.369995,135.000000,130.309998,132.889999,126.807930,22063700
2019-01-24,132.630005,133.210007,131.429993,132.529999,126.464409,6322900
2019-01-25,132.869995,134.440002,132.429993,133.970001,127.838509,5707400
2019-01-28,133.100006,134.809998,132.580002,134.270004,128.124802,5357700
2019-01-29,134.289993,135.410004,133.600006,134.330002,128.182022,5037100
2019-01-30,134.000000,135.029999,133.250000,134.380005,128.229752,4500900
2019-01-31,134.449997,134.720001,133.740005,134.419998,128.267914,4884000
2019-02-01,134.970001,135.199997,133.350006,134.100006,127.962570,3806000
2019-02-04,134.020004,135.199997,132.990005,135.190002,129.002670,3966600
2019-02-05,135.279999,135.820007,134.919998,135.550003,129.346191,5398900
2019-02-06,135.220001,136.649994,135.169998,136.320007,130.080963,4879700
2019-02-07,133.550003,134.470001,132.119995,133.190002,128.575012,4379400
2019-02-08,132.339996,133.710007,132.190002,133.710007,129.076996,3249800
2019-02-11,134.289993,135.149994,133.910004,133.990005,129.347305,3095100
2019-02-12,135.149994,136.199997,134.860001,136.050003,131.335922,3317200
2019-02-13,136.919998,137.919998,136.410004,137.520004,132.754990,4253000
2019-02-14,137.169998,137.600006,136.210007,136.479996,131.751007,2789400
2019-02-15,137.580002,138.190002,137.389999,138.029999,133.247314,3844100
2019-02-19,137.809998,138.699997,137.360001,138.699997,133.894089,3385700
2019-02-20,138.759995,139.240005,137.220001,138.000000,133.218353,3802000
2019-02-21,137.820007,138.350006,137.350006,137.839996,133.063904,2937300
2019-02-22,138.729996,139.380005,138.429993,139.250000,134.425049,3113700
2019-02-25,140.000000,140.470001,139.320007,139.460007,134.627762,3194200
2019-02-26,139.669998,140.490005,139.470001,139.720001,134.878738,3060400
2019-02-27,139.250000,139.570007,138.399994,139.169998,134.347809,2530900
2019-02-28,138.770004,139.059998,137.720001,138.130005,133.343857,3457800
2019-03-01,139.309998,140.039993,138.639999,139.199997,134.376755,3030000
2019-03-04,139.990005,140.080002,137.169998,138.429993,133.633453,3406900
2019-03-05,138.369995,138.740005,137.559998,137.880005,133.102509,4250300
2019-03-06,138.119995,138.389999,136.720001,136.979996,132.233688,2768300
2019-03-07,136.610001,136.889999,134.630005,135.360001,130.669830,4358800
2019-03-08,134.210007,135.240005,133.580002,135.089996,130.409180,3773600
2019-03-11,136.029999,137.729996,135.839996,137.710007,132.938416,3939300
2019-03-12,138.520004,139.699997,137.860001,138.279999,133.488647,3954700
2019-03-13,138.050003,139.320007,137.850006,138.559998,133.758942,3173200
2019-03-14,138.509995,138.940002,138.059998,138.789993,133.980972,2738600
2019-03-15,139.369995,140.330002,139.229996,139.429993,134.598785,7153700
2019-03-18,139.830002,140.369995,138.720001,140.210007,135.351776,3268500
2019-03-19,140.960007,141.699997,140.000000,140.490005,135.622070,3482300
2019-03-20,140.529999,140.699997,138.979996,139.600006,134.762924,3649500
2019-03-21,139.100006,142.119995,138.880005,141.440002,136.539154,3605400
2019-03-22,140.970001,141.440002,138.899994,139.449997,134.618103,3877200
2019-03-25,139.059998,139.910004,138.350006,139.179993,134.357468,2839800
2019-03-26,139.929993,141.020004,139.419998,140.220001,135.361435,2553700
2019-03-27,140.410004,140.490005,138.399994,139.240005,134.415390,3098200
2019-03-28,139.910004,140.440002,139.100006,139.919998,135.071823,2663900
2019-03-29,140.500000,141.220001,140.149994,141.100006,136.210953,3101400
2019-04-01,141.509995,143.410004,141.509995,143.300003,138.334717,3984300
2019-04-02,143.350006,143.949997,142.600006,143.000000,138.045105,2404800
2019-04-03,143.649994,144.220001,143.009995,143.630005,138.653275,2681200
2019-04-04,143.619995,144.139999,142.539993,142.779999,137.832718,2771100
2019-04-05,143.289993,143.500000,142.460007,143.279999,138.315414,2731800
2019-04-08,143.020004,143.419998,142.869995,143.389999,138.421600,2118200
2019-04-09,142.660004,142.949997,141.839996,142.110001,137.185944,3038500
2019-04-10,142.199997,143.500000,141.979996,143.020004,138.064407,2678000
2019-04-11,143.800003,144.110001,143.029999,143.779999,138.798080,2942000
2019-04-12,144.259995,144.440002,143.699997,144.350006,139.348328,2898900
2019-04-15,144.399994,144.460007,143.270004,143.899994,138.913910,3603200
2019-04-16,144.399994,145.389999,144.020004,145.139999,140.110962,6301700
